date,visitors,arrived,leftOfTimeout,leftBeforeTimeout,courseParticipants,courseName,courseStatus
2025-11-15T10:21:08,28,4,0,0,19,YAKO INTÉGRAL,PLANNED
2025-11-15T10:34:18,33,6,1,0,19,ABDOS FESSIERS,PLANNED
2025-11-15T10:43:48,34,1,0,0,19,ABDOS FESSIERS,PLANNED
2025-11-15T10:53:38,34,1,1,0,19,ABDOS FESSIERS,PLANNED
2025-11-15T11:06:25,35,1,0,0,12,YAKO DÉTENTE,PLANNED
2025-11-15T11:19:16,37,3,1,0,12,YAKO DÉTENTE,PLANNED
2025-11-15T11:32:19,41,5,1,0,,,
2025-11-15T11:44:14,42,2,1,0,,,
2025-11-15T11:53:37,39,0,3,0,,,
2025-11-15T12:05:10,26,0,9,4,,,
2025-11-15T12:17:04,23,0,3,0,,,
2025-11-15T12:26:32,25,6,4,0,,,
2025-11-15T12:35:47,18,0,6,1,,,
2025-11-15T12:43:56,18,0,0,0,,,
2025-11-15T12:53:36,14,0,0,4,,,
2025-11-15T13:09:19,12,0,0,2,,,
2025-11-15T13:25:09,9,0,0,3,,,
2025-11-15T13:46:39,6,0,3,0,,,
2025-11-15T14:02:42,6,0,0,0,,,
2025-11-15T14:19:17,6,0,0,0,,,
2025-11-15T14:32:38,6,6,6,0,,,
2025-11-15T14:44:02,7,1,0,0,,,
2025-11-15T14:53:46,7,0,0,0,,,
2025-11-15T15:05:14,8,1,0,0,,,
2025-11-15T15:17:24,8,0,0,0,,,
2025-11-15T15:29:29,8,0,0,0,,,
2025-11-15T15:39:02,7,0,0,1,,,
2025-11-15T15:47:03,6,0,0,1,,,
2025-11-15T15:55:06,6,0,0,0,,,
2025-11-15T16:05:33,5,0,0,1,,,
2025-11-15T16:18:04,4,0,0,1,,,
2025-11-15T16:29:40,4,0,0,0,,,
2025-11-15T16:39:06,3,1,2,0,,,
2025-11-15T16:47:18,4,2,1,0,,,
2025-11-15T16:55:33,3,0,0,1,,,
2025-11-15T17:06:29,4,1,0,0,,,
2025-11-15T17:19:57,7,3,0,0,,,
2025-11-15T17:33:49,7,0,0,0,,,
